"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.369563970E1,6.505688249E1,2.546810057E1,1.049131821E1,1.210000038E0,4.920000076E1,3.790092468E0,2.500000000E0
9.469191773E1,6.505688988E1,2.546812740E1,9.982101998E0,1.220000029E0,6.590000153E1,3.790092468E0,2.500000000E0
9.569412674E1,6.505689690E1,2.546815540E1,1.016764923E1,1.220000029E0,5.920000076E1,3.790092468E0,2.500000000E0
9.669169569E1,6.505690699E1,2.546818226E1,1.035118102E1,1.309999943E0,4.540000153E1,3.790092468E0,2.500000000E0
9.768413668E1,6.505692008E1,2.546820409E1,1.002103924E1,1.370000005E0,2.170000076E1,3.790092468E0,2.661115170E0
9.869927725E1,6.505693152E1,2.546822711E1,9.083415305E0,1.309999943E0,3.800000000E1,3.790092468E0,2.515152216E0
9.969486569E1,6.505694070E1,2.546825700E1,9.159281750E0,1.309999943E0,5.020000076E1,3.790092468E0,2.776302814E0
1.006897769E2,6.505694610E1,2.546829171E1,9.433636486E0,1.320000052E0,6.680000305E1,3.790092468E0,2.796678782E0
1.016785638E2,6.505695027E1,2.546832584E1,9.707076101E0,1.259999990E0,6.329999924E1,3.790092468E0,2.787238359E0
1.026886530E2,6.505695615E1,2.546835689E1,1.014115926E1,1.289999962E0,5.340000153E1,3.790092468E0,2.754148960E0
1.036904994E2,6.505696278E1,2.546838844E1,1.085765186E1,1.279999971E0,5.290000153E1,3.790092468E0,2.803068876E0
1.046884826E2,6.505696725E1,2.546842242E1,1.028746342E1,1.299999952E0,7.059999847E1,3.790092468E0,2.648380041E0
1.056929419E2,6.505697123E1,2.546845282E1,9.273854359E0,1.240000010E0,6.250000000E1,3.790092468E0,2.831135035E0
1.066929374E2,6.505697432E1,2.546847995E1,9.399222338E0,1.100000024E0,8.180000305E1,3.790092468E0,2.915446281E0
1.076819611E2,6.505698357E1,2.546850419E1,1.013579371E1,1.840000033E0,3.290000153E1,3.790092468E0,3.185298920E0
1.086892497E2,6.505699527E1,2.546852173E1,9.727343894E0,1.250000000E0,2.789999962E1,3.828595161E0,3.201622009E0
1.096885415E2,6.505700421E1,2.546853767E1,9.686082455E0,1.330000043E0,2.679999924E1,4.060426235E0,3.544944525E0
1.106933818E2,6.505701346E1,2.546855105E1,9.439437319E0,1.340000033E0,1.360000038E1,4.030264854E0,3.799883604E0
1.116947911E2,6.505702414E1,2.546855922E1,9.323345272E0,1.360000014E0,1.389999962E1,4.104938984E0,4.120475769E0
1.126977507E2,6.505703502E1,2.546856985E1,9.108620603E0,1.350000024E0,1.130000019E1,4.147535801E0,4.598032475E0
1.136874655E2,6.505704573E1,2.546857339E1,7.088170132E0,1.309999943E0,3.525000000E2,4.227527618E0,4.953058243E0
1.146898959E2,6.505705557E1,2.546857054E1,5.167206603E0,1.289999962E0,3.386000061E2,4.258701324E0,5.209238529E0
1.156911665E2,6.505706586E1,2.546856241E1,4.267482564E0,1.330000043E0,3.358999939E2,4.191475868E0,5.342913151E0
1.166985466E2,6.505707667E1,2.546855472E1,4.608542065E0,1.379999995E0,3.438999939E2,4.283300400E0,5.810985565E0
1.176884896E2,6.505708856E1,2.546855130E1,3.329667537E0,1.340000033E0,3.447000122E2,4.241853237E0,6.078916073E0
1.186893334E2,6.505710001E1,2.546854548E1,3.590221627E0,1.360000014E0,3.368999939E2,4.372962952E0,6.427329063E0
1.196887419E2,6.505711280E1,2.546854830E1,5.206855246E0,1.490000010E0,1.000000015E-1,4.277120590E0,6.425186157E0
1.206850635E2,6.505712603E1,2.546855394E1,6.956301505E0,1.379999995E0,4.000000060E-1,4.592696667E0,6.818794250E0
1.216886067E2,6.505713895E1,2.546856218E1,7.553831660E0,1.370000005E0,7.599999905E0,4.601922512E0,7.189954281E0
1.226927012E2,6.505715244E1,2.546856827E1,8.106317420E0,1.340000033E0,3.500000000E0,4.592990398E0,7.205077171E0
1.236878978E2,6.505716626E1,2.546857454E1,9.784413425E0,1.379999995E0,2.299999952E0,4.578660488E0,7.076379776E0
1.246855924E2,6.505718057E1,2.546858219E1,9.529831171E0,1.309999943E0,3.599999905E0,4.599720955E0,7.007529736E0
1.256999814E2,6.505719447E1,2.546858561E1,7.631877032E0,1.340000033E0,3.445000000E2,4.740345478E0,7.123635769E0
1.266870119E2,6.505720790E1,2.546858595E1,8.109838263E0,1.309999943E0,3.431000061E2,4.767251015E0,7.218381882E0
1.276876465E2,6.505722071E1,2.546858403E1,9.393585618E0,1.299999952E0,3.341000061E2,4.827802658E0,7.346226215E0
1.286837871E2,6.505723418E1,2.546858647E1,9.960170110E0,1.330000043E0,3.443999939E2,4.842994213E0,7.385348797E0
1.296893736E2,6.505724685E1,2.546858850E1,9.315451151E0,1.320000052E0,3.286000061E2,4.928405762E0,7.490629196E0
1.306883483E2,6.505726189E1,2.546859603E1,9.461991654E0,1.519999981E0,3.582999878E2,5.303534031E0,7.881158352E0
1.316888894E2,6.505727743E1,2.546861724E1,9.549512459E0,1.440000057E0,2.010000038E1,5.308720589E0,8.117193222E0
1.326875057E2,6.505729147E1,2.546864348E1,1.145618721E1,1.350000024E0,2.710000038E1,5.271205902E0,8.018282890E0
1.336930403E2,6.505730412E1,2.546867290E1,1.185779693E1,1.360000014E0,3.600000000E1,5.400649548E0,8.255069733E0
1.346897247E2,6.505731439E1,2.546870624E1,9.224190690E0,1.289999962E0,5.400000000E1,5.243093014E0,7.990613937E0
1.356929732E2,6.505732510E1,2.546874217E1,1.028559189E1,1.330000043E0,4.700000000E1,5.348812103E0,7.730529785E0
1.366890564E2,6.505733380E1,2.546877954E1,9.733651729E0,1.289999962E0,7.059999847E1,5.157340527E0,7.591472149E0
1.376855438E2,6.505734262E1,2.546881644E1,1.024726323E1,1.370000005E0,5.559999847E1,5.271092415E0,7.453654766E0
1.386876553E2,6.505735149E1,2.546885336E1,1.111152168E1,1.320000052E0,6.490000153E1,4.766754627E0,6.756052494E0
1.396941194E2,6.505735979E1,2.546889068E1,1.242158118E1,1.330000043E0,6.000000000E1,4.736610413E0,6.407171726E0
1.406872114E2,6.505736643E1,2.546892780E1,1.320008612E1,1.379999995E0,7.409999847E1,4.286296844E0,5.794746876E0
1.416980724E2,6.505737267E1,2.546896328E1,1.353126436E1,1.340000033E0,6.819999695E1,4.124699593E0,5.296928883E0
1.426841692E2,6.505737722E1,2.546899602E1,1.298652743E1,1.230000019E0,7.819999695E1,3.987017393E0,4.811924934E0
1.436908181E2,6.505737816E1,2.546902986E1,1.280281493E1,1.350000024E0,8.500000000E1,3.794994593E0,4.159865379E0
1.446875700E2,6.505737959E1,2.546906590E1,1.335689546E1,1.429999948E0,7.850000000E1,3.790092468E0,3.822189808E0
1.456871420E2,6.505738237E1,2.546910249E1,1.437398823E1,1.299999952E0,7.719999695E1,3.790092468E0,3.416479826E0
1.466903417E2,6.505738510E1,2.546913843E1,1.463259707E1,1.399999976E0,8.109999847E1,3.790092468E0,3.104995251E0
1.476794628E2,6.505738720E1,2.546917621E1,1.495175321E1,1.409999967E0,8.659999847E1,3.790092468E0,2.874912024E0
1.486908384E2,6.505738747E1,2.546921664E1,1.494467744E1,1.620000005E0,9.159999847E1,3.790092468E0,2.619943857E0
1.496828919E2,6.505738925E1,2.546925555E1,1.470524008E1,1.490000010E0,7.880000305E1,3.790092468E0,2.500000000E0
1.506928253E2,6.505739098E1,2.546929070E1,1.509849276E1,1.409999967E0,8.750000000E1,3.790092468E0,2.500000000E0
1.516860091E2,6.505739159E1,2.546932453E1,1.513133313E1,1.409999967E0,8.850000000E1,3.790092468E0,2.500000000E0
1.526891757E2,6.505739173E1,2.546935607E1,1.540855819E1,1.299999952E0,8.850000000E1,3.790092468E0,2.500000000E0
1.536897877E2,6.505739258E1,2.546938834E1,1.546465269E1,1.419999957E0,8.869999695E1,3.790092468E0,2.500000000E0
1.546867631E2,6.505739432E1,2.546942113E1,1.570537825E1,1.470000029E0,7.969999695E1,3.790092468E0,2.500000000E0
1.556864738E2,6.505739691E1,2.546945381E1,1.571478024E1,1.419999957E0,8.140000153E1,3.790092468E0,2.500000000E0
1.566973669E2,6.505739919E1,2.546948579E1,1.615063491E1,1.389999986E0,8.500000000E1,3.790092468E0,2.500000000E0
1.576919134E2,6.505740004E1,2.546951941E1,1.597217145E1,1.429999948E0,8.609999847E1,3.790092468E0,2.500000000E0
1.586874142E2,6.505739994E1,2.546955395E1,1.569910396E1,1.529999971E0,9.100000000E1,3.790092468E0,2.500000000E0
1.596834533E2,6.505739977E1,2.546958837E1,1.576307262E1,1.460000038E0,8.569999695E1,3.790092468E0,2.500000000E0
1.606953737E2,6.505740063E1,2.546962070E1,1.596717737E1,1.480000019E0,8.640000153E1,3.790092468E0,2.500000000E0
1.616867337E2,6.505740132E1,2.546965174E1,1.590388703E1,1.509999990E0,8.559999847E1,3.790092468E0,2.500000000E0
